Category,category_id,Subcategory,subcategory_id,amount,year
議会費,01,議会費,0100,61315000,2008
総務費,02,総務管理費,0201,670403000,2008
総務費,02,徴税費,0202,43085000,2008
総務費,02,戸籍住民基本台帳費,0203,20059000,2008
総務費,02,選挙費,0204,3974000,2008
総務費,02,統計調査費,0205,798000,2008
総務費,02,監査委員費,0206,1788000,2008
民生費,03,社会福祉費,0301,358050000,2008
民生費,03,老人福祉費,0302,170777000,2008
民生費,03,児童福祉費,0303,233798000,2008
民生費,03,生活保護費,0304,0,2008
民生費,03,災害救助費,0305,0,2008
衛生費,04,保健衛生費,0401,236433000,2008
衛生費,04,結核対策費,0402,0,2008
衛生費,04,保健所費,0403,0,2008
衛生費,04,清掃費,0404,72628000,2008
労働費,05,失業対策費,0501,0,2008
労働費,05,労働諸費,0502,0,2008
農林水産業費,06,農業費,0601,107432000,2008
農林水産業費,06,畜産業費,0602,12950000,2008
農林水産業費,06,農地費,0603,521728000,2008
農林水産業費,06,林業費,0604,179538000,2008
農林水産業費,06,水産業費,0605,137514000,2008
商工費,07,商工費,0700,153233000,2008
土木費,08,土木管理費,0801,283138000,2008
土木費,08,道路橋りょう費,0802,39874000,2008
土木費,08,河川費,0803,470000,2008
土木費,08,港湾費,0804,0,2008
土木費,08,都市計画費,0805,0,2008
土木費,08,住宅費,0806,9199000,2008
土木費,08,空港費,0807,7649000,2008
消防費,09,消防費,0900,12651000,2008
教育費,10,教育総務費,1001,82007000,2008
教育費,10,小学校費,1002,142309000,2008
教育費,10,中学校費,1003,335870000,2008
教育費,10,高等学校費,1004,0,2008
教育費,10,特殊学校費,1005,0,2008
教育費,10,幼稚園費,1006,29062000,2008
教育費,10,社会教育費,1007,51054000,2008
教育費,10,保健体育費,1008,91011000,2008
教育費,10,大学費,1009,0,2008
災害復旧費,11,農林水産施設,1101,0,2008
災害復旧費,11,公共土木施設,1102,0,2008
災害復旧費,11,その他,1103,0,2008
公債費,12,公債費,1200,373268000,2008
諸支出金,13,普通財産取得費,1301,523000,2008
諸支出金,13,公営企業費,1302,0,2008
諸支出金,13,市町村たばこ税都道府県交付金,1303,0,2008
前年度繰上充用金,14,前年度繰上充用金,1400,0,2008
